City,Population,Latitude,Longitude
guatemala,973208,14.621111,-90.526944
mendoza,973047,-32.890845,-68.827171
cologne,968823,50.933333,6.95
calgary,968475,51.083333,-114.083333
port elizabeth,967722,-33.917988,25.570066
maceio,955010,-9.666667,-35.716667
cartagena,952036,10.399722,-75.514444
changzhou,949018,31.783333,119.966667
ranchi,945079,23.35,85.333333
marrakesh,942631,31.631485,-8.008281
sao goncalo,939101,-22.800278,-43.025556
monrovia,935427,6.3105556,-10.8047222
irbil,932854,36.19,44.0088889
jodhpur,921540,26.286667,73.03
sao luis,917252,-2.516667,-44.266667
chandigarh,914374,30.7343,76.7933
madurai,909988,9.933333,78.116667
krasnoyarsk,907460,56.0091,92.8628
huaibei,903039,33.974444,116.791667
cochabamba,900440,-17.3833333,-66.15
guwahati,899132,26.183333,91.733333
aba,897613,5.106576,7.366667
san jose,897460,37.3394444,-121.8938889
bulawayo,897249,-20.15,28.5833333
pingdingshan,889675,33.738472,113.301194
detroit,884941,42.3313889,-83.0458333
gwalior,882551,26.223611,78.179167
qiqihar,882364,47.340833,123.967222
klang,879887,3.033333,101.45
konya,876004,37.871354,32.484636
mbuji-mayi,874974,-6.15,23.6
vijayawada,874684,16.516667,80.616667
ottawa,874433,45.416667,-75.7
maisuru,868385,12.307222,76.649722
wenzhou,865672,27.999416,120.66682
saratov,863734,51.540556,46.008611
ogbomosho,861303,8.133333,4.266667
ahvaz,854980,31.3203,48.6693
tegucigalpa,850961,14.1,-87.2166667
turin,846489,45.05,7.666667
naucalpan,846222,19.479444,-99.238333
ulaanbaatar,844786,47.9166667,106.9166667
arequipa,844000,-16.3988889,-71.535
voronezh,840590,51.672035,39.184301
padang,840458,-0.953154,100.367659
hubli,840285,15.35,75.166667
lvov,830000,49.840661,24.030451
tucuman,828402,-26.824144,-65.2226
tangier,825316,35.780576,-5.813646
edmonton,822319,53.55,-113.5
duque de caxias,818339,-22.790321,-43.325009
jos,816876,9.916667,8.9
ilorin,814246,8.5,4.55
la paz,812819,-16.5,-68.15
barquisimeto,809564,10.0738889,-69.3227778
oslo,808690,59.916667,10.75
nanning,803788,22.816667,108.316667
johor bahru,802525,1.4655,103.7578
mombasa,799727,-4.05,39.6666667
asgabat,797900,37.95,58.3833333
jacksonville,797557,30.3319444,-81.6558333
zaporizhzhya,796213,47.822892,35.190314
marseille,792823,43.285413,5.37606
kathmandu,790612,27.7166667,85.3166667
jalandhar,785234,31.325556,75.579167
thiruvananthapuram,784223,8.506944,76.956944
sakai,782347,34.583333,135.466667
anyang,781129,36.099444,114.328889
selam,778462,11.65,78.166667
tiruchchirappalli,775551,10.805,78.685556
hohhot,774477,40.810556,111.652222
niamey,774245,13.6666667,1.7833333
niamey,774245,13.5166667,2.1166667
indianapolis,773283,39.7683333,-86.1580556
valencia,769897,39.466667,-0.366667
bogor,769328,-6.594444,106.789167
xining,767531,36.616667,101.766667
kermanshah,766742,34.314167,47.065
liuzhou,763168,24.312582,109.389157
kota,763141,25.183333,75.833333
natal,763057,-5.783333,-35.216667
bhubaneswar,762307,20.233333,85.833333
qinhuangdao,759718,39.931667,119.588333
hengyang,759602,26.888056,112.615
antalya,758603,36.908118,30.695565
cebu,758597,10.311111,123.891667
islamabad,756105,33.69,73.0551
cracow,755050,50.083333,19.916667
aligarh,753280,27.883333,78.083333
pietermaritzburg,750864,-29.616785,30.39278
taian,750340,36.185278,117.12
trujillo,750004,-8.1166667,-79.0333333
malang,746780,-7.9797,112.6304
ciudad guayana,746606,8.3533333,-62.6527778
amsterdam,745811,52.35,4.916667
kigali,745526,-1.9536111,30.0605556
bareli,745509,28.35,79.416667
teresina,744526,-5.083333,-42.816667
xinxiang,743601,35.308889,113.867222
sao bernardo do campo,743386,-23.7,-46.55
hegang,743307,47.4,130.366667
riga,742570,56.95,24.1
columbus,736836,39.9611111,-82.9988889
oyo,736113,7.85,3.933333
tainan,734314,22.9933333,120.2036111
quetta,733970,30.199004,67.009708
san francisco,732072,37.775,-122.4183333
campo grande,729164,-20.45,-54.616667
athens,729139,37.9833333,23.7333333
guadalupe,724949,25.683333,-100.25
cucuta,721406,7.893907,-72.507821
moradabad,721210,28.833333,78.783333
langfang,720119,39.509722,116.694722
ningbo,719867,29.878186,121.549453
yantai,719332,37.533333,121.4
tolyatti,718495,53.5303,49.3461
merida,717196,20.966667,-89.616667
tlalnepantla,715798,19.526944,-99.221667
jerusalem,714685,31.78,35.23
chisinau,713805,47.005556,28.8575
nouakchott,709835,18.0863889,-15.9752778
zhuzhou,709358,27.691868,113.152137
chihuahua,708292,28.633333,-106.083333
bhiwandi,707090,19.3,73.066667
jaboatao,702632,-8.116667,-35.016667
rajshahi,700206,24.3666667,88.6
zagreb,698967,45.8,16
sarajevo,696726,43.85,18.3833333
tunis,692816,36.806112,10.171078
zhangjiakou,692602,40.81,114.879444
cotonou,690584,6.35,2.4333333
zigong,689961,29.341622,104.776887
fuxin,689050,42.015556,121.658889
liaoyang,687890,41.226111,123.056111
sevilla,686647,37.382408,-5.976133
la plata,684318,-34.921454,-57.954533
bangui,684190,4.3666667,18.5833333
raipur,680066,21.233333,81.633333
austin,678368,30.2669444,-97.7427778
osasco,677869,-23.566667,-46.783333
san luis potosi,677726,22.15,-100.983333
gorakhpur,674312,26.755,83.373889
ipoh,673346,4.5841,101.0829
zhangdian,669770,36.790556,118.063333
palermo,669582,38.116667,13.366667
puyang,666322,35.702778,115.005278
nantong,666251,32.030278,120.874722
mudanjiang,665915,44.583333,129.6
santo andre,662387,-23.666667,-46.516667
aguascalientes,658193,21.883333,-102.3
agadir,656110,30.420664,-9.593161
hamilton,653637,43.25,-79.833333
enugu,653436,6.4402,7.4943
kryvyy rih,652376,47.909659,33.380438
acapulco,652160,16.85,-99.916667
joao pessoa,650896,-7.116667,-34.866667
benghazi,650629,32.1166667,20.0666667
krasnodar,649860,45.0488,38.9725
shaoyang,649452,26.965893,111.241376
guilin,649352,25.281944,110.286389
sagamihara,648811,35.553056,139.354444
colombo,648119,6.9319444,79.8477778
frankfurt,648034,50.116667,8.683333
lilongwe,646738,-13.9833333,33.7833333
wahran,646025,35.6911111,-0.6416667
mar del plata,645771,-38.002278,-57.557539
quebec,645623,46.8,-71.25
memphis,641608,35.1494444,-90.0488889
ulyanovsk,640685,54.328241,48.38657
zhanjiang,637790,21.281452,110.342713
yogyakarta,636711,-7.782778,110.360833
zaragoza,635509,41.64531,-0.884861
wroclaw,634893,51.1,17.033333
zhenjiang,632552,32.209167,119.434167
winnipeg,632069,49.883333,-97.166667
dandong,631973,40.129167,124.394722
izhevsk,631044,56.849756,53.204479
shaoguan,628749,24.8,113.583333
yancheng,628441,33.385556,120.125278
foshan,627348,23.026771,113.131483
contagem,627132,-19.916667,-44.1
bhilai,625203,21.216667,81.433333
jibuti,623891,11.595,43.1480556
saltillo,621270,25.416667,-101
fort worth,618119,32.7252778,-97.3205556
jamshedpur,616404,22.8,86.183333
haikou,615835,20.045833,110.341667
sao jose dos campos,613776,-23.183333,-45.883333
mersin,612540,36.732778,34.644167
taizhou,612356,32.493333,119.910627
queretaro,611803,20.6,-100.383333
xingtai,611739,37.063056,114.494167
baltimore,610892,39.2902778,-76.6125
glasgow,610271,55.833333,-4.25
yaroslavl,606735,57.61977,39.85536
benoni,605363,-26.190851,28.311338
hamamatsu,605105,34.7,137.733333
kochi,604751,9.966667,76.233333
jinzhou,604269,41.107778,121.141667
amravati,603885,20.933333,77.75
rotterdam,603851,51.916667,4.5
abu dhabi,603687,24.466667,54.366667
hai phong,602718,20.856111,106.682222
orumiyeh,602443,37.5553,45.0724
kirkuk,601442,35.4680556,44.3922222
barnaul,599586,53.360556,83.763611
charlotte,598351,35.2269444,-80.8433333
el paso,597181,31.7586111,-106.4863889
luancheng,597130,37.879167,114.651667
mexicali,597124,32.651944,-115.468333
hermosillo,595833,29.066667,-110.966667
rasht,594619,37.280769,49.58319
dortmund,594255,51.516667,7.45
kayseri,593164,38.732222,35.485278
abeokuta,593140,7.15,3.35
morelia,592820,19.7,-101.116667
stuttgart,591688,48.766667,9.183333
yingkou,591159,40.637318,122.502508
chimalhuacan,590165,19.416667,-98.9
zhangzhou,589831,24.513333,117.655556
vladivostok,587029,43.128056,131.901111
irkutsk,586702,52.297778,104.296389
belfast,585994,54.583333,-5.933333
genoa,585815,44.416667,8.95
blantyre,584870,-15.7833333,35
kingston,583999,18,-76.8
chiclayo,582597,-6.7736111,-79.8416667
culiacan,582489,24.799444,-107.389722
hachioji,579402,35.655833,139.323889
milwaukee,579180,43.0388889,-87.9063889
xiamen,578337,24.479794,118.081869
khabarovsk,578307,48.480833,135.092778
libreville,578156,0.3833333,9.45
kerman,577547,30.283209,57.07879
dusseldorf,577139,51.216667,6.766667
kaifeng,576915,34.744167,114.418611
essen,576914,51.45,7.016667
bengbu,576648,32.940833,117.360833
bikaner,576056,28.016667,73.3
banjarmasin,572910,-3.333333,114.583333
shihezi,572772,44.3,86.033333
bouake,572149,7.693846,-5.030307
bucaramanga,571827,7.125393,-73.119804
boston,571281,42.3583333,-71.0602778
kuching,570579,1.55,110.333333
poznan,570352,52.416667,16.966667
seattle,569369,47.6063889,-122.3308333
veracruz,568336,19.2,-96.133333
asmara,563948,15.3333333,38.9333333
sokoto,563899,13.048025,5.214285
uberlandia,563545,-18.916667,-48.3
onitsha,561106,6.14543,6.788452
funabashi,560754,35.693056,139.983333
sorocaba,558874,-23.483333,-47.45
helsinki,558457,60.175556,24.934167
malaga,557875,36.726666,-4.434802
warangal,557864,18,79.583333
denver,555981,39.7391667,-104.9841667
santiago,555911,19.45,-70.7
santiago de cuba,555878,20.0247222,-75.8219444
surakarta,555368,-7.556111,110.831667
huaiyin,555230,33.588611,119.019167
bhavnagar,555014,21.766667,72.15
bahawalpur,552765,29.4,71.683333
washington,552433,38.895,-77.0366667
ribeirao preto,551278,-21.166667,-47.8
aden,550744,12.7794444,45.0366667
jiamusi,549549,46.833333,130.35
antipolo,549541,14.5886,121.1757
salta,548288,-24.785896,-65.411664
neijiang,546854,29.583536,105.06216
bremen,546429,53.083333,8.8
sharjah,543942,25.35731,55.403304
matola,543907,-25.9622222,32.4588889
dushanbe,543105,38.56,68.7738889
sargodha,542761,32.083611,72.671111
vilnius,542381,54.6833333,25.3166667
cancun,542156,21.166667,-86.833333
portland,540513,45.5236111,-122.675
maanshan,540198,31.695678,118.498248
las vegas,540111,36.175,-115.1363889
yangzhou,539715,32.397222,119.435833
novokuznetsk,539622,53.7557,87.1099
kisangani,539164,0.516667,25.2
port said,538377,31.2666667,32.3
warri,536068,5.516667,5.75
tanggu,535298,39.021111,117.646944
oklahoma city,532950,35.4675,-97.5161111
jiangmen,532419,22.583333,113.083333
nashville,530852,36.1658333,-86.7844444
beira,530706,-19.8436111,34.8388889
guntur,530636,16.3,80.45
yueyang,528140,29.140833,113.111111
cangzhou,527681,38.316667,116.866667
san salvador,526013,13.7086111,-89.2030556
torreon,524084,25.55,-103.433333
dehra dun,522135,30.316667,78.033333
cuiaba,521961,-15.583333,-56.083333
lopez mateos,521056,19.558333,-99.261389
petaling jaya,520712,3.083333,101.65
ryazan,520177,54.6269,39.6916
hanover,519144,52.366667,9.716667
tyumen,519124,57.152222,65.527222
durgapur,518922,23.483333,87.316667
tucson,518907,32.2216667,-110.9258333
ajmer,517947,26.45,74.633333
lisbon,517798,38.716667,-9.133333
changde,517780,29.046378,111.678304
jiaozuo,517540,35.239722,113.233056
ulhasnagar,516625,19.216667,73.15
kolhapur,516184,16.7,74.216667
lipetsk,515659,52.603111,39.570762
shiliguri,515623,26.716111,88.423611
goteborg,515253,57.716667,11.966667
eskisehir,515155,39.776667,30.520556
hamadan,514134,34.799216,48.514556
penza,512607,53.200656,45.004643
tembisa,511671,-25.996363,28.226802
makati,510383,14.566667,121.033333
asuncion,508797,-25.266667,-57.666667
san nicolas de los garza,507837,25.75,-100.3
wuhu,507524,31.14607,118.57069
toluca,505903,19.288333,-99.667222
niigata,505276,37.902222,139.023611
duisburg,505271,51.433333,6.75
asansol,504320,23.683333,86.983333
arak,503673,34.091741,49.689164
astrakhan,502537,46.349683,48.040756
zhuhai,501199,22.276944,113.567778
gold coast,501175,-28.00029,153.430878
oshogbo,499444,7.766667,4.566667
